Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2021-10-25,3503.0,3514.550048828125,3450.0,3492.949951171875,3445.457275390625,2595594,3708.96748046875,3725.263984375,0,-1.0,NULL
2021-10-26,3494.5,3529.0,3475.0,3482.60009765625,3435.248291015625,3878763,3691.2499877929686,3727.880986328125,0,0.0,NULL
2021-10-27,3483.0,3511.25,3483.0,3489.75,3442.301025390625,2510813,3676.779992675781,3728.40798828125,0,0.0,NULL
2021-10-28,3518.0,3518.0,3415.0,3421.64990234375,3375.126953125,2424942,3658.2674926757813,3727.3819873046873,0,0.0,NULL
2021-10-29,3400.050048828125,3461.0,3385.949951171875,3397.75,3351.55224609375,3960501,3639.377490234375,3724.275986328125,0,0.0,NULL
2021-11-01,3437.949951171875,3487.0,3412.949951171875,3476.39990234375,3429.13232421875,2020718,3626.6874877929686,3722.5929833984374,0,0.0,NULL
2021-11-02,3494.0,3513.60009765625,3469.75,3484.199951171875,3436.82666015625,3087414,3612.2324829101562,3721.086982421875,0,0.0,NULL
2021-11-03,3504.199951171875,3519.89990234375,3466.050048828125,3492.25,3444.766845703125,1537639,3595.17998046875,3718.183984375,0,0.0,NULL
2021-11-04,3512.949951171875,3513.25,3505.0,3508.64990234375,3460.944091796875,328991,3580.06748046875,3716.0929833984374,0,0.0,NULL
2021-11-08,3548.0,3548.0,3481.199951171875,3502.75,3455.124267578125,2526082,3560.5599853515623,3712.9679833984374,0,0.0,NULL
2021-11-09,3508.0,3535.0,3496.0,3505.699951171875,3458.0341796875,1782692,3539.0624877929686,3709.64498046875,0,0.0,NULL
2021-11-10,3498.0,3519.699951171875,3480.199951171875,3484.300048828125,3436.92529296875,1516489,3528.9974853515623,3704.9279833984374,0,0.0,NULL
2021-11-11,3480.0,3510.050048828125,3436.0,3488.199951171875,3440.77197265625,1284514,3520.7649780273437,3700.6659814453124,0,0.0,NULL
2021-11-12,3506.0,3534.14990234375,3485.699951171875,3526.050048828125,3478.107666015625,1747259,3514.307482910156,3695.4579833984376,0,0.0,NULL
2021-11-15,3528.0,3569.60009765625,3528.0,3553.300048828125,3504.987060546875,1809157,3511.3999877929687,3692.2249853515623,0,0.0,NULL
2021-11-16,3569.0,3575.550048828125,3542.0,3556.39990234375,3508.044921875,2013204,3506.8624877929688,3686.6179833984374,0,0.0,NULL
2021-11-17,3550.60009765625,3562.85009765625,3506.39990234375,3521.89990234375,3474.013671875,1632914,3501.2499877929686,3680.21498046875,0,0.0,NULL
2021-11-18,3515.14990234375,3520.85009765625,3451.60009765625,3475.699951171875,3428.44189453125,2136598,3494.59248046875,3672.6889794921876,0,0.0,NULL
2021-11-22,3478.39990234375,3515.949951171875,3440.300048828125,3458.39990234375,3411.377197265625,3167936,3490.8874755859374,3665.5389794921875,0,0.0,NULL
